,TEMP@500_NHX,TEMP@500_TROPICS,TEMP@500_SHX,RH@500_NHX,RH@500_TROPICS,RH@500_SHX,OLR_NHX,OLR_TROPICS,OLR_SHX,OLRC_NHX,OLRC_TROPICS,OLRC_SHX,RSR_NHX,RSR_TROPICS,RSR_SHX,RSRC_NHX,RSRC_TROPICS,RSRC_SHX,LAT_NHX,LAT_TROPICS,LAT_SHX,Lprecip_NHX,Lprecip_TROPICS,Lprecip_SHX,netflux_GLOBAL,MSLP_NHX_DGM,MSLP_TROPICS_DGM
RSRC_SHX,-1.14E-06,-3.79E-06,-2.40E-06,2.02E-07,-1.68E-05,-5.23E-06,-1.83E-06,2.48E-05,1.17E-06,-2.18E-06,7.27E-06,-6.04E-07,3.03E-06,-1.57E-05,-1.10E-05,5.68E-07,6.82E-07,1.74E-06,-7.94E-07,1.05E-06,2.24E-06,-2.71E-15,-4.54E-14,-3.50E-14,-2.72E-06,-0.000243181,0.000121616
LAT_NHX,2.24E-05,3.28E-05,1.74E-05,2.59E-05,0.000191379,-5.15E-06,1.09E-05,-0.000229147,7.51E-06,2.08E-05,-6.76E-05,6.52E-06,1.25E-06,0.00012447,4.28E-05,-1.52E-05,-3.75E-06,-7.94E-07,1.85E-05,5.53E-06,6.90E-06,-2.69E-14,-7.85E-14,3.40E-14,3.99E-05,0.000135427,-0.000703217
LAT_TROPICS,3.46E-06,2.21E-06,2.22E-06,-7.26E-07,-5.44E-05,-4.65E-06,-7.45E-06,5.36E-05,-4.89E-06,3.86E-06,2.53E-05,9.43E-07,9.24E-06,-6.75E-05,-1.20E-06,-1.24E-06,9.70E-07,1.05E-06,5.53E-06,1.22E-05,1.18E-05,-6.45E-15,-9.36E-14,-7.27E-14,8.28E-06,-0.000166054,8.34E-05
LAT_SHX,4.82E-06,-2.16E-06,-2.98E-06,3.64E-06,-5.06E-05,1.44E-05,-1.15E-05,6.68E-05,-2.59E-05,2.38E-06,2.78E-05,-6.04E-06,4.16E-07,-8.49E-05,-1.89E-05,-1.33E-05,1.67E-06,2.24E-06,6.90E-06,1.18E-05,2.99E-05,1.89E-14,-2.49E-13,-2.08E-13,2.28E-05,-0.001037201,0.000339219
Lprecip_NHX,-3.11E-14,-4.74E-14,-3.63E-14,-5.36E-15,-3.50E-13,6.17E-14,-6.79E-14,3.37E-13,-7.39E-14,-5.04E-14,8.90E-14,-3.12E-14,-5.74E-14,-3.03E-13,-1.55E-14,-2.04E-14,4.07E-15,-2.71E-15,-2.69E-14,-6.45E-15,1.89E-14,3.04E-22,1.64E-22,-4.37E-22,3.30E-14,-2.00E-12,1.59E-12
Lprecip_TROPICS,-2.24E-16,7.09E-14,-8.41E-16,-1.05E-13,-1.01E-13,-3.10E-14,4.41E-14,-3.06E-13,4.44E-13,-9.52E-14,-1.24E-13,4.55E-14,6.06E-14,5.68E-13,-1.52E-14,1.84E-13,-6.43E-14,-4.54E-14,-7.85E-14,-9.36E-14,-2.49E-13,1.64E-22,6.02E-21,1.36E-21,-2.64E-13,5.16E-12,-5.65E-12
Lprecip_SHX,3.72E-14,1.39E-13,1.33E-13,1.02E-13,1.67E-12,-2.64E-13,1.91E-13,-1.83E-12,1.81E-13,1.39E-13,-6.26E-13,8.05E-14,-5.22E-14,1.39E-12,4.13E-13,-1.01E-13,-3.26E-14,-3.50E-14,3.40E-14,-7.27E-14,-2.08E-13,-4.37E-22,1.36E-21,3.88E-21,5.92E-14,1.10E-11,-4.08E-12
netflux_GLOBAL,6.95E-05,0.000100544,5.20E-05,7.92E-05,0.000843237,3.31E-05,-1.77E-05,-0.000967287,-2.78E-05,1.64E-05,-0.000335957,-1.54E-05,3.55E-05,0.000380864,0.00017073,-5.42E-05,-1.04E-05,-2.72E-06,3.99E-05,8.28E-06,2.28E-05,3.30E-14,-2.64E-13,5.92E-14,0.000268412,-0.00069514,-0.001637256
MSLP_NHX_DGM,-0.000112404,0.001014117,0.000919288,-0.00189407,0.002620537,-0.000680649,0.003178073,-0.002992621,-2.84E-05,0.001568657,-0.000260152,0.000677088,-0.002814903,0.003096294,0.0023528,0.000212034,1.07E-05,-0.000243181,0.000135427,-0.000166054,-0.001037201,-2.00E-12,5.16E-12,1.10E-11,-0.00069514,0.143370457,-0.048975627
MSLP_TROPICS_DGM,-0.001286727,-0.002223327,-0.001164308,-7.84E-05,-0.012572382,0.000338519,-0.001946642,0.015508999,-0.001284721,-0.00123889,0.004646095,-0.0005034,0.000878578,-0.010002614,-0.002858834,0.000315907,0.000304981,0.000121616,-0.000703217,8.34E-05,0.000339219,1.59E-12,-5.65E-12,-4.08E-12,-0.001637256,-0.048975627,0.066176545
