,Nmx,Nmn,Smx,Smn,SAT
Nmx,1.4413950739699964e+23,3.8768425785241794e+22,-4.905001483659435e+22,-1.1399715578832717e+22,-5790939051.602341
Nmn,3.8768425785241794e+22,5.229699545514733e+22,-2.9716813930279138e+22,-1.3671617367891302e+21,-2580340279.578947
Smx,-4.905001483659435e+22,-2.9716813930279138e+22,1.1059095206612409e+23,3.0140895143547678e+22,1472096865.122807
Smn,-1.1399715578832717e+22,-1.3671617367891302e+21,3.0140895143547678e+22,2.1676533356477937e+22,480615489.77777773
SAT,-5790939051.602341,-2580340279.578947,1472096865.122807,480615489.77777773,0.0009995942325358499
